sceneNumber,lineNumber,speaker,text,displayTime
1,1,Thomas Wilson,Fire! FIRE!,1.5
1,2,Thomas Wilson,Get the extinguisher!,1.5
1,3,John Jackson,It's spreading too fast!,1.5
1,4,,*screaming*,1.5
1,5,,*crackling flames*,1.5
2,1,Ivan Novak,Those wires are exposed!,1.5
2,2,Thomas Wilson,I see them.,1.5
2,3,Carlos Tanaka,Then why are you-,1.5
2,4,,*ZAP*,1.5
2,5,,*cry of pain*,1.5
2,6,,*silence*,1.5
3,1,Kira Ahmed,Fire! FIRE!,1.5
3,2,Emma Garcia,Get the extinguisher!,1.5
3,3,Erik Kim,It's spreading too fast!,1.5
3,4,,*screaming*,1.5
3,5,,*crackling flames*,1.5
4,1,Dr. Elena Novak,The electrical panel is sparking!,1.65
4,2,Prof. Emma Davis,Shut it down!,1.5
4,3,Ingrid Murphy,I'm trying!,1.5
4,4,,*explosion*,1.5
4,5,,*screaming*,1.5
4,6,,*fire alarm*,1.5
5,1,Svetlana Sato,You're making a big mistake.,1.5
5,2,Nora Patel,The only mistake was trusting you.,1.7
5,3,,*struggle*,1.5
5,4,,*impact*,1.5
5,5,,*thud*,1.5
6,1,Thomas Wilson,You've been stealing from the supply room!,2.1
6,2,Sophie Khan,Prove it.,1.5
6,3,Amara Rodriguez,I have proof. And I'm turning you in.,1.85
6,4,Prof. Yuki Suzuki,I don't think so.,1.5
6,5,,*struggle*,1.5
6,6,,*gasp*,1.5
6,7,Sakura Tanaka,Why...,1.5
7,1,Ivan Sato,I've made too many mistakes.,1.5
7,2,Sophie Khan,Everyone makes mistakes. It's not too late.,2.15
7,3,Sophie Khan,For me it is.,1.5
7,4,Prof. Ivan Popov,Please... don't do anything-,1.5
7,5,,*footsteps running away*,1.5
8,1,Sakura Tanaka,I trusted you!,1.5
8,2,Diego Ito,That was your first mistake.,1.5
8,3,Leila Larsen,What are you-,1.5
8,4,,*struggle*,1.5
8,5,,*choking sounds*,1.5
8,6,,*thud*,1.5
9,1,Emma Nakamura,You've been stealing from the supply room!,2.1
9,2,Prof. Ivan Popov,Prove it.,1.5
9,3,Prof. Magnus Wilson,I have proof. And I'm turning you in.,1.85
9,4,Prof. Ivan Popov,I don't think so.,1.5
